state,city,year,month,day,category,sales
Kentucky,Henderson,2016,11,8,Furniture,2
Kentucky,Henderson,2016,11,3,Office Supplies,3
Kentucky,Henderson,2016,11,3,Furniture,2
Kentucky,Henderson,2016,2,16,Furniture,1
Kentucky,Henderson,2016,2,16,Office Supplies,1
Kentucky,Henderson,2015,12,7,Office Supplies,1
Kentucky,Henderson,2015,12,7,Furniture,1
Kentucky,Henderson,2015,12,31,Office Supplies,4
Kentucky,Henderson,2015,10,28,Office Supplies,2
Kentucky,Henderson,2015,10,28,Furniture,2
Kentucky,Henderson,2015,11,30,Office Supplies,2
Kentucky,Henderson,2015,1,9,Office Supplies,4
Kentucky,Henderson,2017,11,19,Furniture,1
Kentucky,Henderson,2017,11,19,Office Supplies,1
Kentucky,Henderson,2017,11,20,Furniture,1
Kentucky,Henderson,2017,11,2,Office Supplies,2
Kentucky,Henderson,2017,11,2,Furniture,1
Kentucky,Henderson,2017,11,2,Technology,1
Kentucky,Henderson,2017,3,31,Furniture,1
Kentucky,Henderson,2017,3,31,Technology,1
Kentucky,Henderson,2017,9,2,Office Supplies,1
Kentucky,Henderson,2014,5,9,Office Supplies,4
Kentucky,Henderson,2014,1,6,Furniture,1
Kentucky,Henderson,2014,1,6,Office Supplies,4
Kentucky,Henderson,2014,1,6,Technology,2
Kentucky,Henderson,2014,12,13,Office Supplies,1
Kentucky,Henderson,2014,4,21,Office Supplies,1
Kentucky,Richmond,2017,11,6,Office Supplies,1
Kentucky,Richmond,2017,11,24,Office Supplies,2
Kentucky,Richmond,2017,11,3,Office Supplies,1
Kentucky,Richmond,2017,8,5,Office Supplies,1
Kentucky,Richmond,2017,10,16,Office Supplies,1
Kentucky,Richmond,2017,10,30,Office Supplies,3
Kentucky,Richmond,2017,10,30,Furniture,1
Kentucky,Richmond,2017,12,9,Office Supplies,5
Kentucky,Richmond,2017,12,9,Technology,2
Kentucky,Richmond,2015,7,3,Furniture,1
Kentucky,Richmond,2015,7,3,Office Supplies,1
Kentucky,Richmond,2014,11,21,Technology,1
Kentucky,Richmond,2014,11,21,Office Supplies,3
Kentucky,Richmond,2014,11,1,Office Supplies,2
Kentucky,Richmond,2014,5,5,Office Supplies,3
Kentucky,Richmond,2014,3,11,Office Supplies,2
Kentucky,Richmond,2014,3,11,Technology,2
Kentucky,Richmond,2014,4,5,Office Supplies,1
Kentucky,Richmond,2016,2,3,Furniture,1
Kentucky,Louisville,2016,11,4,Office Supplies,1
Kentucky,Louisville,2016,5,5,Office Supplies,1
Kentucky,Louisville,2016,9,22,Furniture,1
Kentucky,Louisville,2016,12,27,Office Supplies,1
Kentucky,Louisville,2015,10,13,Technology,1
Kentucky,Louisville,2015,10,13,Furniture,1
Kentucky,Louisville,2015,7,27,Technology,1
Kentucky,Louisville,2015,7,24,Furniture,1
Kentucky,Louisville,2015,7,24,Office Supplies,2
Kentucky,Louisville,2015,7,24,Technology,1
Kentucky,Louisville,2015,4,21,Furniture,2
Kentucky,Louisville,2015,4,21,Office Supplies,1
Kentucky,Louisville,2015,4,21,Technology,1
Kentucky,Louisville,2015,5,9,Office Supplies,1
Kentucky,Louisville,2017,12,25,Office Supplies,1
Kentucky,Louisville,2017,12,25,Furniture,1
Kentucky,Louisville,2017,12,29,Furniture,3
Kentucky,Louisville,2017,12,29,Office Supplies,2
Kentucky,Louisville,2017,5,27,Office Supplies,1
Kentucky,Louisville,2017,5,27,Technology,1
Kentucky,Louisville,2017,5,26,Office Supplies,2
Kentucky,Louisville,2017,8,17,Office Supplies,1
Kentucky,Louisville,2017,8,17,Technology,1
Kentucky,Louisville,2017,10,13,Office Supplies,1
Kentucky,Louisville,2017,11,25,Furniture,1
Kentucky,Louisville,2014,4,30,Office Supplies,2
Kentucky,Florence,2017,6,16,Furniture,1
Kentucky,Florence,2017,6,16,Office Supplies,1
Kentucky,Florence,2017,6,16,Technology,2
Kentucky,Florence,2017,9,16,Technology,1
Kentucky,Florence,2015,8,24,Technology,3
Kentucky,Florence,2015,8,21,Office Supplies,2
Kentucky,Murray,2017,3,3,Office Supplies,1
Kentucky,Murray,2016,12,5,Furniture,1
Kentucky,Bowling Green,2016,7,18,Furniture,1
Kentucky,Bowling Green,2017,12,21,Technology,1
Kentucky,Georgetown,2016,12,5,Technology,1
Kentucky,Georgetown,2016,12,5,Office Supplies,1
Kentucky,Georgetown,2016,9,4,Furniture,1
Kentucky,Georgetown,2016,9,4,Office Supplies,3
Kentucky,Georgetown,2017,9,11,Office Supplies,2
Kentucky,Owensboro,2015,5,7,Office Supplies,1
Kentucky,Owensboro,2014,8,24,Office Supplies,1
California,Los Angeles,2016,6,12,Office Supplies,1
California,Los Angeles,2016,6,10,Office Supplies,2
California,Los Angeles,2016,6,10,Furniture,1
California,Los Angeles,2016,6,9,Technology,1
California,Los Angeles,2016,6,25,Office Supplies,1
California,Los Angeles,2016,6,16,Office Supplies,1
California,Los Angeles,2016,6,28,Office Supplies,2
California,Los Angeles,2016,6,14,Furniture,1
California,Los Angeles,2016,6,17,Furniture,1
California,Los Angeles,2016,6,17,Office Supplies,2
California,Los Angeles,2016,6,11,Furniture,1
California,Los Angeles,2016,6,26,Office Supplies,3
California,Los Angeles,2016,6,6,Office Supplies,2
California,Los Angeles,2016,6,3,Furniture,1
California,Los Angeles,2016,1,16,Office Supplies,1
California,Los Angeles,2016,1,16,Technology,1
California,Los Angeles,2016,1,3,Office Supplies,1
California,Los Angeles,2016,1,31,Technology,1
California,Los Angeles,2016,1,31,Office Supplies,1
California,Los Angeles,2016,1,23,Furniture,1
California,Los Angeles,2016,1,28,Office Supplies,1
California,Los Angeles,2016,7,17,Office Supplies,1
California,Los Angeles,2016,7,12,Technology,1
California,Los Angeles,2016,7,2,Furniture,1
California,Los Angeles,2016,7,25,Office Supplies,1
California,Los Angeles,2016,7,3,Office Supplies,2
California,Los Angeles,2016,7,7,Furniture,1
California,Los Angeles,2016,7,7,Technology,1
California,Los Angeles,2016,7,7,Office Supplies,1
California,Los Angeles,2016,7,28,Office Supplies,1
California,Los Angeles,2016,9,17,Office Supplies,2
California,Los Angeles,2016,9,17,Technology,1
California,Los Angeles,2016,9,29,Office Supplies,1
California,Los Angeles,2016,9,29,Technology,1
California,Los Angeles,2016,9,24,Office Supplies,3
California,Los Angeles,2016,9,24,Furniture,1
