Category,Sub-Category,Product Name,top_similar_products,sku
Furniture,Bookcases,Bush Somerset Collection Bookcase,"['sku0713', 'sku1475', 'sku1534', 'sku1618', 'sku0267']",sku0001
Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","['sku0850', 'sku0169', 'sku0084', 'sku0469', 'sku0285']",sku0002
Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,"['sku0709', 'sku0745', 'sku0323', 'sku0580', 'sku0608']",sku0003
Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"['sku0011', 'sku0217', 'sku1243', 'sku1218', 'sku0439']",sku0004
Office Supplies,Storage,Eldon Fold 'N Roll Cart System,"['sku0386', 'sku0734', 'sku0519', 'sku1341', 'sku0227']",sku0005
Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","['sku1603', 'sku0077', 'sku0286', 'sku1453', 'sku1565']",sku0006
Office Supplies,Art,Newell 322,"['sku0564', 'sku1245', 'sku1621', 'sku0687', 'sku0672']",sku0007
Technology,Phones,Mitel 5320 IP Phone VoIP phone,"['sku0716', 'sku0896', 'sku0298', 'sku0530', 'sku0951']",sku0008
Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,"['sku0079', 'sku1303', 'sku0250', 'sku0521', 'sku0654']",sku0009
Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,"['sku0010', 'sku0651', 'sku1347', 'sku0144', 'sku0924']",sku0010
Furniture,Tables,Chromcraft Rectangular Conference Tables,"['sku0217', 'sku1323', 'sku1243', 'sku0617', 'sku0190']",sku0011
Technology,Phones,Konftel 250 Conference phone - Charcoal black,"['sku0480', 'sku1699', 'sku1231', 'sku1313', 'sku0911']",sku0012
Office Supplies,Paper,Xerox 1967,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0013
Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,"['sku0059', 'sku0452', 'sku0700', 'sku0933', 'sku0777']",sku0014
Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","['sku0668', 'sku1283', 'sku0977', 'sku0533', 'sku0229']",sku0015
Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,"['sku0529', 'sku0110', 'sku0304', 'sku0059', 'sku0656']",sku0016
Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","['sku1184', 'sku0076', 'sku0198', 'sku0968', 'sku0187']",sku0017
Office Supplies,Storage,Fellowes Super Stor/Drawer,"['sku0765', 'sku0378', 'sku1278', 'sku0357', 'sku0460']",sku0018
Office Supplies,Art,Newell 341,"['sku0564', 'sku1245', 'sku1621', 'sku0687', 'sku0672']",sku0019
Technology,Phones,Cisco SPA 501G IP Phone,"['sku1177', 'sku0425', 'sku0241', 'sku0896', 'sku0525']",sku0020
Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""","['sku0799', 'sku1076', 'sku1488', 'sku0715', 'sku0045']",sku0021
Office Supplies,Art,Newell 318,"['sku0564', 'sku1245', 'sku1621', 'sku0687', 'sku0672']",sku0022
Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length","['sku0723', 'sku0168', 'sku0166', 'sku1270', 'sku1026']",sku0023
Furniture,Chairs,"Global Deluxe Stacking Chair, Gray","['sku0269', 'sku0872', 'sku0655', 'sku0165', 'sku1336']",sku0024
Office Supplies,Binders,Wilson Jones Active Use Binders,"['sku0875', 'sku0715', 'sku0155', 'sku0799', 'sku0545']",sku0026
Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,"['sku0026', 'sku0047', 'sku1087', 'sku0104', 'sku0428']",sku0027
Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","['sku1655', 'sku0829', 'sku1110', 'sku1534', 'sku1108']",sku0028
Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,"['sku0271', 'sku0492', 'sku0304', 'sku1015', 'sku0920']",sku0029
Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","['sku0442', 'sku0268', 'sku0593', 'sku0485', 'sku0569']",sku0030
Office Supplies,Envelopes,Poly String Tie Envelopes,"['sku0375', 'sku0437', 'sku0246', 'sku0112', 'sku0589']",sku0031
Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","['sku0282', 'sku1606', 'sku0066', 'sku1461', 'sku0401']",sku0032
Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","['sku0537', 'sku0187', 'sku0968', 'sku0637', 'sku0062']",sku0033
Office Supplies,Art,Lumber Crayons,"['sku1115', 'sku0374', 'sku1259', 'sku0916', 'sku0680']",sku0034
Office Supplies,Paper,Easy-staple paper,"['sku0566', 'sku0694', 'sku1067', 'sku1171', 'sku0838']",sku0035
Technology,Phones,GE 30524EE4,"['sku0035', 'sku0911', 'sku1313', 'sku0522', 'sku0525']",sku0036
Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black","['sku0108', 'sku0064', 'sku0075', 'sku1666', 'sku1823']",sku0037
Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","['sku0112', 'sku0589', 'sku0754', 'sku0246', 'sku0437']",sku0038
Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","['sku0788', 'sku0038', 'sku1261', 'sku0922', 'sku0072']",sku0039
Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray","['sku1195', 'sku0065', 'sku1485', 'sku0052', 'sku0165']",sku0040
Technology,Phones,Plantronics HL10 Handset Lifter,"['sku0522', 'sku1408', 'sku0425', 'sku0204', 'sku1599']",sku0041
Technology,Phones,Panasonic Kx-TS550,"['sku0041', 'sku0522', 'sku1595', 'sku0196', 'sku1313']",sku0042
Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum","['sku0622', 'sku0378', 'sku0419', 'sku0458', 'sku1033']",sku0043
Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","['sku0622', 'sku1341', 'sku0836', 'sku0458', 'sku0405']",sku0044
Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","['sku0044', 'sku0541', 'sku0061', 'sku1567', 'sku0679']",sku0045
Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,"['sku1076', 'sku0715', 'sku0155', 'sku0995', 'sku0799']",sku0046
Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","['sku0198', 'sku0076', 'sku0187', 'sku0537', 'sku0032']",sku0047
Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,"['sku0026', 'sku0464', 'sku0578', 'sku1532', 'sku0428']",sku0048
Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","['sku1659', 'sku0181', 'sku0404', 'sku1620', 'sku0120']",sku0049
Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack","['sku0865', 'sku0537', 'sku0032', 'sku0281', 'sku0187']",sku0050
Office Supplies,Labels,Avery 485,"['sku0050', 'sku0256', 'sku0640', 'sku0287', 'sku0689']",sku0051
Furniture,Furnishings,Longer-Life Soft White Bulbs,"['sku1143', 'sku0922', 'sku1131', 'sku0006', 'sku1019']",sku0052
Furniture,Chairs,"Global Leather Task Chair, Black","['sku0125', 'sku1485', 'sku0655', 'sku0230', 'sku0791']",sku0053
Office Supplies,Fasteners,Advantus Push Pins,"['sku0197', 'sku0803', 'sku0486', 'sku0264', 'sku0133']",sku0054
Technology,Phones,AT&T CL83451 4-Handset Telephone,"['sku1397', 'sku0303', 'sku0174', 'sku0507', 'sku0289']",sku0055
Office Supplies,Storage,Home/Office Personal File Carts,"['sku0762', 'sku0768', 'sku1027', 'sku0356', 'sku0451']",sku0056
Office Supplies,Paper,Xerox 232,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0057
Furniture,Chairs,Novimex Turbo Task Chair,"['sku1210', 'sku0084', 'sku0408', 'sku0052', 'sku0125']",sku0058
Office Supplies,Paper,"Array Parchment Paper, Assorted Colors","['sku1624', 'sku0253', 'sku1147', 'sku1385', 'sku0034']",sku0059
Office Supplies,Binders,Plastic Binding Combs,"['sku0777', 'sku0014', 'sku0675', 'sku0700', 'sku1015']",sku0061
Office Supplies,Art,Prang Dustless Chalk Sticks,"['sku0426', 'sku1115', 'sku0402', 'sku0374', 'sku1652']",sku0062
Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","['sku0044', 'sku0541', 'sku0061', 'sku1567', 'sku0679']",sku0063
Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","['sku0637', 'sku0968', 'sku0187', 'sku0537', 'sku0032']",sku0064
Office Supplies,Paper,Xerox 1943,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0065
Furniture,Furnishings,Luxo Economy Swing Arm Lamp,"['sku0108', 'sku0036', 'sku0223', 'sku0742', 'sku0870']",sku0066
Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray","['sku0165', 'sku0996', 'sku0039', 'sku1195', 'sku0213']",sku0067
Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","['sku0031', 'sku1461', 'sku0282', 'sku1606', 'sku0109']",sku0068
Technology,Phones,netTALK DUO VoIP Telephone Service,"['sku0298', 'sku0951', 'sku0530', 'sku0008', 'sku0911']",sku0069
Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","['sku1831', 'sku1740', 'sku0962', 'sku1147', 'sku0100']",sku0070
Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,"['sku0028', 'sku0099', 'sku0271', 'sku0097', 'sku0148']",sku0071
Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""","['sku1239', 'sku0671', 'sku0365', 'sku0321', 'sku0228']",sku0072
Furniture,Chairs,High-Back Leather Manager's Chair,"['sku0655', 'sku1210', 'sku0052', 'sku1195', 'sku0084']",sku0073
Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""","['sku0886', 'sku1447', 'sku0784', 'sku0038', 'sku0180']",sku0074
Office Supplies,Storage,Safco Industrial Wire Shelving System,"['sku0083', 'sku0237', 'sku0419', 'sku0357', 'sku1809']",sku0075
Office Supplies,Binders,Economy Binders,"['sku0352', 'sku1198', 'sku0990', 'sku0095', 'sku1457']",sku0076
Furniture,Furnishings,"6"" Cubicle Wall Clock, Black","['sku0678', 'sku0223', 'sku0885', 'sku0207', 'sku1820']",sku0077
Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","['sku1184', 'sku0046', 'sku0017', 'sku0118', 'sku0198']",sku0078
Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","['sku1603', 'sku0286', 'sku0006', 'sku1453', 'sku1565']",sku0079
Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","['sku0139', 'sku0386', 'sku0622', 'sku1028', 'sku0977']",sku0080
Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,"['sku0009', 'sku1303', 'sku0250', 'sku0521', 'sku1214']",sku0081
Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind","['sku0374', 'sku0402', 'sku0726', 'sku1115', 'sku0863']",sku0082
Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black","['sku0148', 'sku0118', 'sku0768', 'sku0762', 'sku0055']",sku0083
Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,"['sku0619', 'sku0114', 'sku0754', 'sku0437', 'sku0837']",sku0084
Office Supplies,Storage,Safco Industrial Wire Shelving,"['sku0073', 'sku0237', 'sku0419', 'sku0436', 'sku1809']",sku0085
Furniture,Chairs,Novimex Swivel Fabric Task Chair,"['sku1210', 'sku0369', 'sku0476', 'sku0169', 'sku0469']",sku0086
Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,"['sku1763', 'sku0769', 'sku0607', 'sku0107', 'sku0101']",sku0087
Office Supplies,Labels,Avery 511,"['sku0050', 'sku0256', 'sku0640', 'sku0287', 'sku0689']",sku0088
Office Supplies,Storage,Eldon Portable Mobile Manager,"['sku0356', 'sku0357', 'sku0378', 'sku0227', 'sku0762']",sku0089
Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,"['sku0726', 'sku0402', 'sku1827', 'sku0413', 'sku0374']",sku0090
Office Supplies,Paper,Xerox 1995,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0092
Office Supplies,Paper,Xerox 1999,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0093
Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock","['sku1480', 'sku0794', 'sku0485', 'sku0569', 'sku1253']",sku0094
Office Supplies,Binders,Ibico Standard Transparent Covers,"['sku0445', 'sku0825', 'sku1078', 'sku0028', 'sku0302']",sku0095
Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,"['sku0250', 'sku0351', 'sku0103', 'sku0413', 'sku0447']",sku0096
Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,"['sku0561', 'sku0885', 'sku0268', 'sku0442', 'sku0029']",sku0097
Office Supplies,Binders,Trimflex Flexible Post Binders,"['sku1198', 'sku0990', 'sku0250', 'sku0352', 'sku0692']",sku0098
Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,"['sku1262', 'sku0514', 'sku0536', 'sku1099', 'sku0415']",sku0099
Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,"['sku0497', 'sku0592', 'sku0069', 'sku0163', 'sku0503']",sku0100
Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,"['sku0178', 'sku0358', 'sku0553', 'sku1766', 'sku0203']",sku0101
Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,"['sku0028', 'sku0069', 'sku0271', 'sku0670', 'sku1487']",sku0102
Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),"['sku1067', 'sku0220', 'sku0418', 'sku0962', 'sku1147']",sku0103
Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,"['sku0607', 'sku0769', 'sku0435', 'sku0296', 'sku0107']",sku0104
Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting","['sku0737', 'sku0481', 'sku1472', 'sku0792', 'sku1279']",sku0105
Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","['sku0901', 'sku0250', 'sku0521', 'sku0654', 'sku0531']",sku0106
Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,"['sku1087', 'sku0464', 'sku0026', 'sku0199', 'sku0428']",sku0107
Technology,Phones,Speck Products Candyshell Flip Case,"['sku0404', 'sku1699', 'sku0864', 'sku1659', 'sku0012']",sku0108
Office Supplies,Art,Newell Chalk Holder,"['sku0959', 'sku0007', 'sku0502', 'sku0564', 'sku1030']",sku0109
Technology,Accessories,Logitech Gaming G510s - Keyboard,"['sku0696', 'sku0101', 'sku0429', 'sku0607', 'sku0769']",sku0110
Furniture,Furnishings,Magnifier Swing Arm Lamp,"['sku0064', 'sku0036', 'sku0297', 'sku0742', 'sku0380']",sku0111
Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue","['sku0066', 'sku1372', 'sku1461', 'sku0282', 'sku1606']",sku0112
Office Supplies,Binders,"Avery Durable Plastic 1"" Binders","['sku1457', 'sku0555', 'sku0740', 'sku0613', 'sku0352']",sku0113
Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes","['sku0311', 'sku0205', 'sku0295', 'sku1043', 'sku0803']",sku0114
Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2","['sku0112', 'sku0754', 'sku0599', 'sku0437', 'sku0246']",sku0115
Office Supplies,Paper,Xerox 1921,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0116
Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White","['sku0837', 'sku0776', 'sku0233', 'sku0437', 'sku1329']",sku0117
Furniture,Tables,Hon Racetrack Conference Tables,"['sku1323', 'sku1013', 'sku0820', 'sku0617', 'sku0225']",sku0118
Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,"['sku0262', 'sku1163', 'sku0317', 'sku1175', 'sku0890']",sku0119
Furniture,Furnishings,Artistic Insta-Plaque,"['sku1358', 'sku1366', 'sku0380', 'sku1294', 'sku0443']",sku0120
Office Supplies,Storage,"Companion Letter/Legal File, Black","['sku0081', 'sku0148', 'sku0299', 'sku0422', 'sku0768']",sku0122
Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,"['sku1345', 'sku0776', 'sku0727', 'sku0437', 'sku1685']",sku0123
Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,"['sku0864', 'sku0501', 'sku1659', 'sku0404', 'sku0376']",sku0124
Furniture,Chairs,Global Deluxe High-Back Manager's Chair,"['sku0996', 'sku0655', 'sku1336', 'sku0065', 'sku0024']",sku0125
Furniture,Tables,Bevis 44 x 96 Conference Tables,"['sku0122', 'sku1243', 'sku0364', 'sku0011', 'sku0217']",sku0126
Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels","['sku0806', 'sku0740', 'sku1055', 'sku0654', 'sku0305']",sku0127
Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black","['sku0299', 'sku0331', 'sku0880', 'sku0118', 'sku0461']",sku0128
Furniture,Chairs,"Global Task Chair, Black","['sku0052', 'sku0407', 'sku1523', 'sku0791', 'sku1485']",sku0129
Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,"['sku1472', 'sku0784', 'sku0792', 'sku0886', 'sku1279']",sku0130
Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,"['sku1082', 'sku1340', 'sku0142', 'sku0852', 'sku1612']",sku0131
Office Supplies,Paper,Xerox 1916,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0132
Office Supplies,Fasteners,Staples,"['sku0328', 'sku0361', 'sku0684', 'sku0133', 'sku0598']",sku0133
Office Supplies,Paper,Xerox 195,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0134
Office Supplies,Paper,Xerox 1880,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0135
Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box","['sku0402', 'sku1115', 'sku0171', 'sku1575', 'sku0916']",sku0136
Office Supplies,Fasteners,Ideal Clamps,"['sku0129', 'sku0706', 'sku0355', 'sku0271', 'sku0504']",sku0137
