Category,Sub-Category,Product Name,similar_products,similar_products_vectors,top_similar_products,sku
Furniture,Bookcases,Bush Somerset Collection Bookcase,Furniture Bookcases Bush Somerset Collection Bookcase,"[-0.20369299  0.42559502  0.29642498  0.12695648  0.421495    0.09135666
  0.150366    0.27975753  0.01189501  0.26814216  0.2747335  -0.54915065
 -0.051479    0.41277882  0.03328666  0.33945617  0.28870058  0.262425
 -0.09291833 -0.322085   -0.062446    0.12076217  0.34997332 -0.47065997
  0.43714538 -0.29639733 -0.41064653 -0.16883783 -0.47203335 -0.34183002
  0.22604318 -0.201836    0.11833834  0.16796088 -0.27874634  0.6678023
  0.04002    -0.261825    0.14926718 -0.048555    0.0663565  -0.13629831
  0.2751505  -0.07944001  0.12156501  0.04656167  0.0529751  -0.10062765
  0.18810503 -0.30636665  0.30102834 -0.00578999  0.26670003  0.18503334
 -0.0255195  -0.9775133  -0.283165   -0.24414332  0.39440498 -0.06983
 -0.04354183  0.40001836  0.09003183  0.29805598  0.22630334 -0.13190816
  0.7038536   0.5156305   0.19293499 -0.29411033  0.44633028  0.3271977
  0.382095   -0.37539336  0.01334833  0.07217482 -0.25276667  0.337795
 -0.38157868  0.18928832  0.11586335  0.24148083  0.24498002  0.10888334
 -0.10111818 -0.37611032 -0.20256667 -0.543355   -0.11972501 -0.19540167
  0.06626834 -0.15352167  0.64461267  0.08505168 -0.36761332 -0.21723
  0.10707983 -0.16494334  0.569365    0.06454783]","['sku0713', 'sku1475', 'sku1534', 'sku1618', 'sku0267']",sku0001
Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","Furniture Chairs Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","[-0.3065539   0.382765    0.02058175 -0.13431709  0.3855462   0.179797
 -0.052775    0.28461137 -0.2224427   0.019826    0.12494512 -0.3095593
  0.3033005   0.5169778   0.25748903  0.138415   -0.12973666  0.17761351
  0.13443097 -0.53217757  0.14142649  0.05582801  0.33640108 -0.3231408
  0.68746006 -0.2585416  -0.2438858  -0.4673915  -0.17870001 -0.3214073
  0.1477389   0.13410461 -0.18310872 -0.01903849 -0.21795341  0.400388
 -0.10653219  0.312009    0.24838798 -0.4099919   0.1207988  -0.3803411
  0.28768548 -0.21975899 -0.177726    0.24139607 -0.2174664   0.29787475
 -0.03666    -0.19771537 -0.24518831 -0.06148239 -0.12260002  0.42064008
 -0.30103973 -0.9363368   0.12517603  0.30219358  0.7813552   0.1281736
  0.0489606   0.1837591  -0.17940071  0.433498    0.049662   -0.23718591
  0.45165402  0.3630131  -0.02908284 -0.19814901  0.25316176  0.17841269
  0.30862197 -0.323948   -0.1385359   0.15154542 -0.30529243  0.2946378
  0.27130097 -0.035542   -0.16493714  0.1021498  -0.180812    0.1452169
 -0.24732462 -0.26546425  0.11516841 -0.32783702 -0.1285049  -0.28316298
  0.26295486 -0.28049543  0.392721    0.008189    0.18221697 -0.1865275
 -0.1028589  -0.147351    0.7990194  -0.16194852]","['sku0850', 'sku0169', 'sku0084', 'sku0469', 'sku0285']",sku0002
Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies Labels Self-Adhesive Address Labels for Typewriters by Universal,"[ 1.12503998e-01 -1.48808599e-01  3.14641446e-01  8.31201449e-02
  5.30921042e-01 -2.74857152e-02 -4.80442718e-02 -1.18711136e-01
  6.68342933e-02  2.70469952e-02  2.97378302e-01 -2.43158430e-01
  1.06845714e-01  1.18596859e-01 -1.55053303e-01 -6.86318502e-02
  7.31054246e-01  3.95487137e-02  2.09895283e-01 -5.61620831e-01
 -1.49814272e-02 -1.99123994e-01  5.32021485e-02 -1.74327612e-01
 -1.59958616e-01  1.17591359e-01  6.70554340e-02 -1.88523993e-01
 -3.34829986e-02 -1.18071409e-02  4.82967556e-01  3.92512858e-01
  6.75874352e-02  4.22710001e-01 -2.40405723e-01  5.11541426e-01
  1.32908300e-01 -9.67144296e-02  1.47529125e-01 -4.97707158e-01
  2.04264402e-01  1.98982850e-01 -9.41057205e-02 -1.27711013e-01
 -1.86654299e-01 -9.77754071e-02 -7.95841068e-02 -2.50693500e-01
  4.02545556e-02 -2.89347708e-01  1.86705709e-01 -4.66203579e-04
 -5.95891476e-02  3.68729591e-01  1.09895572e-01 -1.77974296e+00
 -2.52827018e-01  4.38475795e-02  1.30485141e+00  1.65921569e-01
  2.65130013e-01  3.60428430e-02 -5.19022763e-01 -1.47328461e-02
  5.73851466e-01 -3.57780010e-01  2.49029994e-01  7.52677247e-02
  3.56024981e-01 -1.31796688e-01 -8.50219950e-02  2.05637142e-01
 -1.86700717e-01 -3.91992241e-01  1.36337727e-01  8.87769982e-02
 -1.41342925e-02 -4.55585718e-02 -8.84975731e-01 -9.30867195e-02
  1.67989984e-01 -3.63141447e-01 -1.40409306e-01  4.03511465e-01
 -1.03735435e+00  4.62138467e-02  1.75781995e-01 -2.15495571e-01
 -2.83543557e-01  4.03242782e-02 -1.07007194e-02  6.94285631e-02
  1.17372863e-01 -1.53132845e-04 -1.97534293e-01 -3.23882885e-02
 -1.07014284e-01 -1.32628575e-01  6.25251412e-01  6.89247176e-02]","['sku0709', 'sku0745', 'sku0323', 'sku0580', 'sku0608']",sku0003
Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Furniture Tables Bretford CR4500 Series Slim Rectangular Table,"[-0.5685628   0.57213485  0.141185    0.1883635   0.10786834  0.20946884
  0.13151668  0.2871225  -0.29157835 -0.23146999  0.438867   -0.27570835
  0.28271353  0.14015834 -0.095923    0.46373    -0.25269946  0.13641033
  0.12599167 -0.5351655   0.04206917  0.03800834  0.30678913 -0.30684164
  0.58654463 -0.49073836 -0.16718167 -0.37996498 -0.60129833 -0.37449083
  0.08458816 -0.09804533 -0.08402833 -0.29376832  0.40568766  0.40484652
 -0.10768083 -0.03514832  0.03754001 -0.43531898  0.3890132  -0.42524835
  0.2169025  -0.35766503 -0.13569127 -0.02653166 -0.36846268  0.22089799
  0.08919582 -0.17273468 -0.094845   -0.1893075   0.05687833  0.7633667
  0.017403   -1.9079269  -0.22936702  0.208811    0.64063     0.3753375
 -0.52067834  0.415625   -0.22295117  0.17851664  0.44117936 -0.28782502
  0.29865882  0.41887555 -0.18285817 -0.36953166  0.01934112  0.24721466
  0.3636665  -0.13982034  0.01285833  0.37918666 -0.18139684  0.07098167
 -0.2781183   0.0192365   0.18650167  0.12306381 -0.16197    -0.05391365
 -0.45081818 -0.3526493  -0.18372834 -0.42922738  0.169565    0.12065784
  0.06103817  0.08540571  0.13642602  0.15752633 -0.2742732  -0.356969
 -0.26685166 -0.19242935  1.0910283   0.00985383]","['sku0011', 'sku0217', 'sku1243', 'sku1218', 'sku0439']",sku0004
Office Supplies,Storage,Eldon Fold 'N Roll Cart System,Office Supplies Storage Eldon Fold 'N Roll Cart System,"[-0.47300592  0.06301222  0.28107935 -0.2531677   0.09703222 -0.13591015
  0.03361379  0.37972447  0.08908978  0.19472016  0.18654577 -0.19076045
  0.06640366  0.13967468  0.08196633 -0.19056489  0.09822889  0.14931822
 -0.18184495 -0.38833752  0.19557565  0.14621982  0.13778588 -0.1999111
  0.04759809 -0.10784022 -0.01061333 -0.17616221  0.00304222 -0.00490722
  0.3653347   0.34686223 -0.14107126  0.02251767  0.07942955  0.38553327
  0.12423554 -0.00954471  0.12951954 -0.3209672   0.15243612 -0.61149555
 -0.06725445 -0.4602388   0.12140492  0.09620445 -0.33321002 -0.2308871
 -0.08322612 -0.29936934  0.02020734 -0.17361787  0.08884379  0.59286
  0.13456887 -1.3097788  -0.01190151  0.0449609   1.4099244   0.31633922
  0.03946166 -0.02518272  0.04464345  0.42557442  0.54646     0.13697663
  0.15192556 -0.01806889  0.3345133  -0.03723422 -0.12480957  0.09809901
 -0.02264911 -0.22006357  0.20891377 -0.12470134  0.18656033 -0.00799489
 -0.302204    0.09609494  0.2217552  -0.06475078 -0.44486633  0.1254989
 -0.5271199   0.09764133  0.26227945 -0.48781502 -0.09586833  0.02059966
 -0.11997446  0.2951683  -0.0771052   0.157933    0.00816767 -0.35535556
  0.34584832 -0.17192568  0.6007682   0.04661123]","['sku0386', 'sku0734', 'sku0519', 'sku1341', 'sku0227']",sku0005
Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","Furniture Furnishings Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","[-0.2707916   0.2978992  -0.02333741 -0.1685186   0.311921    0.0136041
 -0.189657    0.1570555   0.18691424  0.20827588  0.0737328  -0.5139345
  0.11185628  0.510665    0.24288642  0.31180468  0.24662971  0.08979599
  0.040192   -0.3359887  -0.03789441  0.0052179   0.4540619  -0.41038784
  0.45656744  0.118952    0.14102611 -0.379658   -0.33743855 -0.07550409
  0.1632112   0.1238537  -0.02456599 -0.0426742   0.0077313   0.32121807
 -0.0780901  -0.02905673  0.4352172  -0.385006    0.22136962 -0.394353
  0.00340151 -0.30736297 -0.1630821   0.23542568 -0.3218003  -0.0308002
 -0.09727211 -0.3337994   0.16926    -0.510941   -0.08289669  0.30325598
 -0.1351359  -0.817218   -0.36580318 -0.0046874   0.72910696  0.07960011
  0.012224    0.53700984 -0.056383    0.529035    0.06320862 -0.4733564
  0.729352    0.0132734  -0.00616691 -0.4857112  -0.23642984  0.275883
  0.22373578 -0.090193    0.309824    0.28165838 -0.0211617   0.17384599
 -0.15593958  0.15381698  0.1030568   0.0104025  -0.16541879  0.24426898
 -0.14170791 -0.17121562  0.0900201  -0.30671373 -0.0263166  -0.05331699
  0.11661579 -0.41637596  0.3791666   0.01358401 -0.0846374  -0.32387537
 -0.11429681 -0.48598972  0.6728971  -0.0184764 ]","['sku1603', 'sku0077', 'sku0286', 'sku1453', 'sku1565']",sku0006
Office Supplies,Art,Newell 322,Office Supplies Art Newell 322,"[ 0.066637    0.296704    0.00479749 -0.14105341  0.3857     -0.26712522
 -0.09071501  0.320835    0.0573525   0.17051825  0.14193317 -0.39685282
 -0.01634251  0.2683705  -0.08771575  0.058095    0.3861025   0.16160525
 -0.15355751  0.09095752  0.06048775 -0.0464475   0.17742376 -0.14380752
 -0.09274501 -0.233127   -0.064135   -0.57916    -0.19512574  0.04836249
 -0.18519676  0.153115   -0.1877975   0.20165    -0.3243125   0.3170825
 -0.08231501  0.10619525  0.0493875  -0.4264425   0.27254426 -0.5458725
 -0.214645   -0.28870624  0.342656    0.11263551 -0.17495748 -0.465275
  0.337353   -0.18821487  0.24086499 -0.27320752 -0.034137    0.42757624
 -0.08998025 -1.5966225  -0.07962025 -0.33284     1.099155    0.166584
  0.10308     0.18829998 -0.10382725  0.26986575  0.31536752 -0.12942
  0.348035    0.2868775   0.27074248  0.30510825  0.040041    0.29461774
 -0.10143001 -0.348185    0.1986725  -0.2457775   0.28961247  0.413475
 -0.9236575   0.07025325  0.3081715   0.2568225  -0.38562924  0.19466749
 -0.72170275  0.0623705  -0.20248249 -0.039799   -0.085419   -0.5325575
  0.1990575  -0.29435062  0.21898276  0.11239251 -0.32890502  0.00806801
  0.01465748 -0.2487      0.3991225   0.27387327]","['sku0564', 'sku1245', 'sku1621', 'sku0687', 'sku0672']",sku0007
Technology,Phones,Mitel 5320 IP Phone VoIP phone,Technology Phones Mitel 5320 IP Phone VoIP phone,"[-0.13210972 -0.08356144  0.256723    0.16155328  0.36148858 -0.16115515
 -0.22372551 -0.30820042  0.39192414 -0.10901643  0.29776144 -0.35267758
 -0.30174845  0.21619686  0.21185586 -0.24699713 -0.03225471  0.23179325
  0.18642142 -0.04831143 -0.51859283 -0.28172788  0.5176057   0.4141843
  0.33653858 -0.09639858  0.4731686   0.6039715  -0.12198142  0.21199986
  0.19770272  1.0196828   0.26088712  0.02506043  0.4476423   0.15821572
 -0.5926512  -0.24751902  0.5719114  -0.04936279  0.34412    -0.25748
 -0.10246757 -0.06564929 -0.57590854 -0.20004629 -0.17547686  0.04139515
  0.7513686  -0.26833645  0.03194981  0.5036703   0.64010626  0.24419144
  0.08404272 -0.91180336 -0.2673944   0.07686244  1.3373829   0.3349657
 -0.05250572 -0.44419858 -0.09123971 -0.32904428 -0.2587686   0.13653272
  0.62457573  0.01892756  0.73754555  0.19339287 -0.34372473  0.042156
  0.14973986 -0.9682414   0.2914007   0.14479229  0.35874057 -0.29610428
 -0.42707673 -0.09598514  0.8834628  -0.81105965 -0.04852457 -0.083275
 -1.6083372   0.26103857  0.50677997 -0.19595556  0.02934971  0.07614001
  0.47931287  0.48115253  0.30478427 -0.40810427  0.03868857  0.08086257
  0.12923974 -0.0706      0.5339657   0.20034814]","['sku0716', 'sku0896', 'sku0298', 'sku0530', 'sku0951']",sku0008
Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies Binders DXL Angle-View Binders with Locking Rings by Samsill,"[ 2.32179966e-02 -9.77533385e-02 -1.13355838e-01 -4.45003182e-01
  4.20941681e-01 -1.89832821e-01 -4.01526690e-01  3.77311677e-01
  2.26140186e-01  1.45602167e-01  1.17654838e-01 -7.21898451e-02
  6.35429993e-02  5.47914982e-01  1.93524495e-01 -8.34468380e-02
  1.77081689e-01  1.01631684e-02  3.49294990e-01 -6.30031645e-01
  6.74651787e-02 -2.42231324e-01 -1.70080826e-01 -1.15548335e-01
  1.19039983e-01 -2.20846627e-02  3.50379944e-02 -3.21036667e-01
 -1.26896679e-01  1.54976666e-01  2.72035509e-01 -1.83628991e-01
  7.73033276e-02 -4.80723381e-02  7.06500793e-03  9.85566601e-02
  9.85469818e-02  2.06099018e-01  3.42403322e-01 -1.55824676e-01
  2.23417521e-01 -2.95299023e-01  1.05681680e-01 -4.54228312e-01
 -5.71383350e-02 -1.13139667e-01 -2.00505838e-01 -2.52808988e-01
  1.82003174e-02 -1.47443414e-02 -4.63146716e-02 -2.25278333e-01
  7.21901655e-02  6.91063344e-01  8.32876787e-02 -1.13504505e+00
 -2.74690181e-01  4.50349934e-02  1.03069997e+00  3.27366173e-01
  2.10218355e-01  7.63040110e-02 -2.70652622e-02  5.26561677e-01
  2.71714985e-01 -1.77809998e-01  5.87870002e-01  2.17884719e-01
  3.00963998e-01 -9.97496769e-02 -6.91157952e-02 -7.00155913e-04
 -1.13566630e-02 -1.67873338e-01  4.28216718e-02 -2.52349880e-02
  1.12884104e-01 -9.79500264e-03 -3.83588344e-01  3.23685497e-01
  2.86852151e-01 -2.69018319e-02 -7.12849557e-01 -2.54983362e-02
 -4.81623322e-01  1.59572840e-01  2.89711684e-01 -2.21660987e-01
 -1.25943556e-01 -1.11966670e-01 -2.88783312e-02  1.08132862e-01
  3.16557825e-01 -1.34032324e-01  4.45391685e-01 -2.00198337e-01
 -1.83950067e-02  3.77949998e-02  2.72131681e-01  2.62625247e-01]","['sku0079', 'sku1303', 'sku0250', 'sku0521', 'sku0654']",sku0009
Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies Appliances Belkin F5C206VTEL 6 Outlet Surge,"[-0.02497683 -0.09999534  0.24328618 -0.22356485  0.35825667 -0.60067666
 -0.13856782  0.04961833  0.35946766  0.12406418  0.022836   -0.35202703
  0.03763583 -0.19111998  0.08562183 -0.05367917 -0.13414866  0.0387935
 -0.00194967 -0.24062592  0.1956385   0.00261     0.14119366  0.040615
 -0.02523669 -0.11805999  0.08141166 -0.10429833 -0.24174134 -0.20176017
  0.07922134  0.29837334  0.2096805   0.102929   -0.20106448  0.24582483
 -0.003805   -0.113906    0.13298738 -0.42673835  0.2657567  -0.1648568
 -0.269179   -0.24980752  0.47438002  0.192607   -0.10685999 -0.22879831
  0.30187947 -0.30186     0.13252883 -0.03564001  0.09943084  0.21267499
  0.1444285  -1.0579069  -0.0654685  -0.289068    1.205135    0.33285332
  0.20770665 -0.3464607   0.08674733  0.56108505  0.19168168  0.07604351
  0.385265   -0.38985565  0.16629165 -0.08525449 -0.05437499 -0.01642183
 -0.03412667 -0.28744483  0.10204     0.03842167  0.27074233  0.176277
 -0.5989533   0.3230113   0.34937584 -0.10270983 -0.34565282  0.5069398
 -0.56896    -0.3050122   0.26677     0.04413318 -0.01788367 -0.3485137
  0.4562582   0.30937082  0.25113353 -0.28712168 -0.42806435  0.11838651
  0.36791167 -0.19381154  0.6046733   0.21783216]","['sku0010', 'sku0651', 'sku1347', 'sku0144', 'sku0924']",sku0010
